id,ticket_text,true_category,predicted_category,reasoning,langsmith_run_id,correct,run_name,prompt_version,prompt_sha256,model
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,The customer is asking about the location and tracking of a recent order.,01a07861-725f-70c3-bbb1-e24cae491935,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
t001,"Hey, placed an order for a blender 5 days back and the tracking still shows nothing. Where is it?",order_status,order_status,The customer is asking about the whereabouts and tracking of a recent order.,01a07861-76d7-7880-b5b0-2ca72c1053cc,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
t002,"So I ordered a blender on Monday, supposedly it shipped, but the tracking page is dead. What's going on?",order_status,order_status,The customer is asking about the status of their order and tracking information.,01a07861-78f1-7850-b70c-70572e4aa19c,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
t003,My package was supposed to arrive yesterday but it's still not here. Order #44812.,order_status,order_status,The customer is asking about the delivery status of their order.,01a07861-7aeb-7651-9ef7-8d2b5ef9874d,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
t004,Order #44812 was due yesterday and hasn't shown up. Any update?,order_status,order_status,"The customer is asking for an update on a delayed order, which falls under order status inquiries.",01a07861-7cf3-7d13-b041-39018adcc0ba,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
t005,Where's my package? Was supposed to arrive yesterday — order #44812 if that helps.,order_status,order_status,The customer is asking about the location and delivery status of their order.,01a07861-7efc-7c43-8f26-c01b8692e6e3,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
t006,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,"The customer is having trouble accessing the tracking link for their order, which is a question about order status and tracking.",01a07861-810a-7633-acc4-0a76a2a28ba8,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
t007,"Hey, the tracking link you emailed me for order 88421 doesn't load — just keeps spinning. Help?",order_status,order_status,"The customer is asking about a tracking link for an order, which falls under order status inquiries.",01a07861-82e2-7672-90ea-5fbcd02046cc,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
t008,Tracking URL is broken. Order 88421. Can you tell me where the package is?,order_status,order_status,"The customer is asking about the location of their package and mentions a broken tracking URL, which is a question about order status and tracking.",01a07861-84cd-7433-9e19-a2b75fd79377,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
t009,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,"The customer is asking about a missing delivery despite the order showing as delivered, which is a question about order status and tracking.",01a07861-86ba-7fa2-88fc-e0f7a5defa31,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
t010,My order is marked delivered as of last Tuesday but it's nowhere to be found. Help.,order_status,order_status,"The customer is asking about a missing delivery that is marked as delivered, which pertains to order tracking and delivery status.",01a07861-88d9-79c0-b0fd-475d8e6bd59d,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
t011,"Says delivered Tuesday — checked the porch, the neighbors, the mailroom. Nothing. What do I do?",order_status,order_status,"The customer is asking about a missing delivery that was marked as delivered, which is a question about order tracking and delivery status.",01a07861-8af8-7481-a572-e1be368bc889,True,baseline,instructor-original-v1,b844ae4e1d366bbd42960e01d98bfe27c94b6a63ace9d33c31d385a3675cd0e6,openai/gpt-oss-120b
